TeamID,TeamName,FirstD1Season,LastD1Season
1271,Maryland Eastern Shore,1985,2022
1272,Memphis,1985,2022
1273,Mercer,1985,2022
1274,Miami FL,1986,2022
1275,Miami OH,1985,2022
1276,Michigan,1985,2022
1277,Michigan St.,1985,2022
1278,Minnesota,1985,2022
1279,Mississippi,1985,2022
1280,Mississippi St.,1985,2022
1281,Missouri,1985,2022
1282,Missouri KC,1990,2022
1283,Missouri St.,1985,2022
1284,Monmouth,1985,2022
1285,Montana,1985,2022
1286,Montana St.,1985,2022
1287,Morehead St.,1985,2022
1288,Morgan St.,1985,2022
1289,Morris,2002,2003
1290,Mississippi Valley St.,1985,2022
1291,Mount St. Mary's,1989,2022
1292,Middle Tennessee,1985,2022
1293,Murray St.,1985,2022
1294,N.C. State,2005,2022
1295,North Dakota St.,2006,2022
1296,Northern Illinois,1985,2022
1297,Northern Kentucky,2013,2022
1298,Navy,1985,2022
1299,North Carolina A&T,1985,2022
1300,North Carolina Central,2008,2022
1301,North Carolina,1985,2022
1302,NE Illinois,1991,1998
1303,Nebraska Omaha,2012,2022
1304,Nebraska,1985,2022
1305,Nevada,1985,2022
1306,New Hampshire,1985,2022
1307,New Mexico,1985,2022
1308,New Mexico St.,1985,2022
1309,New Orleans,1985,2022
1310,Niagara,1985,2022
1311,Nicholls St.,1985,2022
1312,NJIT,2007,2022
1313,Norfolk St.,1998,2022
1314,NC Wesleyan,1985,2022
1315,North Dakota,2009,2022
1316,North Florida,2006,2022
1317,North Texas,1985,2022
1318,Northeastern,1985,2022
1319,Northern Arizona,1985,2022
1320,Northern Iowa,1985,2022
1321,Northwestern,1985,2022
1322,Northwestern LA,1985,2022
1323,Notre Dame,1985,2022
1324,Oakland,2000,2022
1325,Ohio,1985,2022
1326,Ohio St.,1985,2022
1327,Oakland City,1985,1985
1328,Oklahoma,1985,2022
1329,Oklahoma St.,1985,2022
1330,Old Dominion,1985,2022
1331,Oral Roberts,1985,2022
1332,Oregon,1985,2022
1333,Oregon St.,1985,2022
1334,Pacific,1985,2022
1335,Penn,1985,2022
1336,Penn St.,1985,2022
1337,Pepperdine,1985,2022
1338,Pittsburgh,1985,2022
1339,Portland,1985,2022
1340,Portland St.,1999,2022
1341,Prairie View A&M,1985,2022
1342,Presbyterian,2008,2022
1343,Princeton,1985,2022
1344,Providence,1985,2022
1345,Purdue,1985,2022
1346,Quinnipiac,1999,2022
1347,Radford,1985,2022
1348,Rhode Island,1985,2022
1349,Rice,1985,2022
1350,Richmond,1985,2022
1351,Rider,1985,2022
1352,Robert Morris,1985,2022
1353,Rutgers,1985,2022
1354,South Carolina St.,1985,2022
1355,South Dakota St.,2006,2022
1356,Southern Illinois,1985,2022
1357,Sacred Heart,2000,2022
1358,Sam Houston St.,1987,2022
1359,Samford,1985,2022
1360,San Diego,1985,2022
1361,San Diego St.,1985,2022
1362,San Francisco,1986,2022
1363,San Jose St.,1985,2022
1364,UC Santa Barbara,1985,2022
1365,Santa Clara,1985,2022
1366,Savannah St,2003,2019
1367,USC Upstate,2008,2022
1368,Southeastern Louisiana,1985,2022
1369,Southeast Missouri St.,1992,2022
1370,Seattle,2009,2022
1371,Seton Hall,1985,2022
1372,Stephen F. Austin,1987,2022
1373,Siena,1985,2022
1374,SMU,1985,2022
1375,South Alabama,1985,2022
1376,South Carolina,1985,2022
1377,South Dakota,2009,2022
1378,South Florida,1985,2022
1379,Southern Miss,1985,2022
1380,Southern,1985,2022
1381,Southern Utah,1989,2022
1382,St. Bonaventure,1985,2022
1383,St. Francis NY,1985,2022
1384,St. Francis PA,1985,2022
1385,St. John's,1985,2022
1386,Saint Joseph's,1985,2022
1387,Saint Louis,1985,2022
1388,Saint Mary's,1985,2022
1389,Saint Peter's,1985,2022
1390,Stanford,1985,2022
1391,Stetson,1985,2022
1392,Stony Brook,2000,2022
1393,Syracuse,1985,2022
1394,Texas A&M Corpus Chris,2003,2022
1395,TCU,1985,2022
1396,Temple,1985,2022
1397,Tennessee,1985,2022
1398,Tennessee St.,1985,2022
1399,Tennessee Tech,1985,2022
1400,Texas,1985,2022
1401,Texas A&M,1985,2022
1402,Texas St.,1985,2022
1403,Texas Tech,1985,2022
1404,Tennessee Martin,1993,2022
1405,Toledo,1985,2022
1406,Towson,1985,2022
1407,Troy,1994,2022
1408,Tulane,1985,2022
1409,Tulsa,1985,2022
1410,UT Rio Grande Valley,1985,2022
1411,Texas Southern,1985,2022
1412,UAB,1985,2022
1413,UC Davis,2005,2022
1414,UC Irvine,1985,2022
1415,UC Riverside,2002,2022
1416,UCF,1985,2022
1417,UCLA,1985,2022
1418,Louisiana,1985,2022
1419,Louisiana Monroe,1985,2022
1420,UMBC,1987,2022
1421,UNC Asheville,1987,2022
1422,UNC Greensboro,1992,2022
1423,UNC Wilmington,1985,2022
1424,UNLV,1985,2022
1425,USC,1985,2022
1426,UT Arlington,1985,2022
1427,UTSA,1985,2022
1428,Utah,1985,2022
1429,Utah St.,1985,2022
1430,Utah Valley,2005,2022
1431,UTEP,1985,2022
1432,Utica,1985,1987
1433,VCU,1985,2022
1434,Valparaiso,1985,2022
1435,Vanderbilt,1985,2022
1436,Vermont,1985,2022
1437,Villanova,1985,2022
1438,Virginia,1985,2022
1439,Virginia Tech,1985,2022
1440,VMI,1985,2022
1441,Western Carolina,1985,2022
1442,Western Illinois,1985,2022
1443,Western Kentucky,1985,2022
1444,Western Michigan,1985,2022
1445,W Salem St,2007,2010
1446,W Texas A&M,1985,1986
1447,Wagner,1985,2022
1448,Wake Forest,1985,2022
1449,Washington,1985,2022
1450,Washington St.,1985,2022
1451,Weber St.,1985,2022
1452,West Virginia,1985,2022
1453,Green Bay,1985,2022
1454,Milwaukee,1991,2022
1455,Wichita St.,1985,2022
1456,William & Mary,1985,2022
1457,Winthrop,1987,2022
1458,Wisconsin,1985,2022
1459,Wofford,1996,2022
1460,Wright St.,1988,2022
1461,Wyoming,1985,2022
1462,Xavier,1985,2022
1463,Yale,1985,2022
1464,Youngstown St.,1985,2022
1465,Cal Baptist,2019,2022
1466,North Alabama,2019,2022
1467,Merrimack,2020,2022
1468,Bellarmine,2021,2022
1469,Dixie St.,2021,2022
1470,Tarleton St.,2021,2022
1471,UC San Diego,2021,2022
1472,St. Thomas,2022,2022
